canal;campanha;grupo de anúncio;data;impressões;cliques;leads;valor gasto
facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45493;3986;33;5;69
"facebook;atr_leads | Genérica [CBO];LAL 1% COMPRADORES;45492;2353;30;9;47,34"
"facebook;atr_leads | Promo HR [CBO];VUC;45492;3480;9;1;46,02"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45492;3001;14;2;47,68"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45492;3191;7;;70,5"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45492;2548;8;2;71,08"
"facebook;atr_leads | Genérica [CBO];LAL 1% COMPRADORES;45491;2436;25;2;50,3"
"facebook;atr_leads | Promo HR [CBO];VUC;45491;3537;7;2;50,99"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45491;4189;12;;49,37"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45491;4086;13;3;73,33"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45491;2875;20;4;74,7"
"facebook;atr_leads | Genérica [CBO];LAL 1% COMPRADORES;45490;2779;15;3;50,04"
"facebook;atr_leads | Promo HR [CBO];VUC;45490;3234;12;1;50,74"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45490;5464;24;4;50,54"
"facebook;atr_leads | promo - creta [CBO] 2;Int. Auto + Pais +30 AB;45490;571;3;1;14,3"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45490;2564;16;3;59,41"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45490;3164;32;5;74,14"
"facebook;atr_leads | Genérica [CBO];LAL 1% COMPRADORES;45489;2649;20;1;50,69"
"facebook;atr_leads | Promo HR [CBO];VUC;45489;3645;12;1;50,39"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45489;3397;21;2;50,78"
"facebook;atr_leads | promo - creta [CBO] 2;Int. Auto + Pais +30 AB;45489;1366;12;3;37,02"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45489;2052;18;1;39,49"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45489;3535;20;2;75,48"
"facebook;atr_leads | Genérica [CBO];LAL 1% COMPRADORES;45488;2813;19;3;52,49"
"facebook;atr_leads | Promo HR [CBO];VUC;45488;2433;7;1;51,94"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45488;2939;24;5;52,17"
"facebook;atr_leads | promo - creta [CBO] 2;Int. Auto + Pais +30 AB;45488;825;9;1;15,89"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45488;2787;19;4;62,95"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45488;4967;20;3;78,96"
"facebook;atr_leads | Genérica [CBO];LAL 1% COMPRADORES;45487;2458;24;5;54,86"
"facebook;atr_leads | Promo HR [CBO];VUC;45487;1784;6;1;54,48"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45487;3243;24;4;53,88"
"facebook;atr_leads | promo - creta [CBO] 2;Int. Auto + Pais +30 AB;45487;2001;4;;40,6"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45487;1993;16;4;40,6"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45487;4580;20;2;81,64"
"facebook;atr_leads | Genérica [CBO];LAL 1% COMPRADORES;45486;1875;24;10;45,95"
"facebook;atr_leads | Promo HR [CBO];VUC;45486;2606;6;2;55,97"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45486;2485;17;3;46,65"
"facebook;atr_leads | promo - creta [CBO] 2;Int. Auto + Pais +30 AB;45486;994;8;3;19,97"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45486;2218;9;1;48,33"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45486;3774;18;2;68,78"
"facebook;atr_leads | Genérica [CBO];LAL 1% COMPRADORES;45485;1899;16;6;48,42"
"facebook;atr_leads | Promo HR [CBO];VUC;45485;2960;5;;54,41"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45485;2650;27;6;47,72"
